id,name,position,club,value,points,status
860,Tomasz Matuszewski,3,3,0.7,4.0,active
928,Kamil Mazek,3,2,1.7,31.0,active
1018,Patryk Malecki,3,18,1.9,52.0,active
602,Maciej Malkowski,3,15,1.8,41.0,active
114,Maciej Manka,2,7,2.0,0.0,active
1166,Haris Memic,2,2,1.5,0.0,active
1231,Leandro Messias dos Santos,2,8,2.0,64.0,active
1216,Damian Michalak,3,5,0.5,2.0,active
1429,Jakub Michalczyk,3,4,0.9,0.0,active
58,Michal Michalec,2,4,1.5,24.0,active
963,Mateusz Michalski,3,17,1.9,32.0,active
86,Tomasz Midzierski,2,8,2.2,76.0,active
975,Nemanja Mijuskovic,2,11,1.9,36.0,active
486,Tomas Mikinic,3,12,1.8,49.0,active
969,Patryk Mikita,4,14,1.9,0.0,active
333,Michal Mikolajczyk,2,13,1.5,42.0,active
334,Rafal Mikulec,2,1,1.4,12.0,active
1410,Petar Mikulic,2,17,1.4,-1.0,active
1354,Marcel Misztal,3,7,0.5,0.0,active
1348,Kamil Mizera,3,5,0.5,0.0,active
1389,Patryk Mociak,2,18,0.6,0.0,active
864,Lukasz Moneta,3,7,2.0,46.0,active
462,Jakub Mosakowski,2,16,1.5,3.0,active
1269,Mateusz Mozdzen,3,17,2.0,49.0,active
628,Marek Mroz,3,6,1.7,51.0,active
1270,Patryk Mucha,3,17,1.7,46.0,active
1309,Mateusz Mlynski,3,2,2.2,49.0,active
1494,Filipe Nascimento,3,14,1.8,0.0,active
435,Tomasz Nawotka,2,10,1.9,33.0,active
1352,Nemanja Nedic,2,7,1.8,55.0,active
1462,Jakub Niewiadomski,2,6,1.5,0.0,active
1408,Kamil Niewiadomski,2,11,0.6,0.0,active
1460,Nikodem Niski,2,4,1.5,0.0,active
212,Rafal Niziolek,3,12,1.7,28.0,active
1034,Daniel Niznik,1,5,1.5,0.0,active
1081,Lukasz Norkowski,3,7,1.5,21.0,active
1424,Jakub Nowaczek,1,8,0.5,0.0,active
970,Damian Nowak,4,7,2.0,35.0,active
887,Konrad Nowak,3,12,1.7,47.0,active
1265,Krystian Nowak,2,17,1.6,29.0,active
826,Adrian Odyjewski,1,7,1.0,0.0,active
922,Kamil Ogorzaly,3,15,1.7,43.0,active
1413,Krystian Ogrodowski,3,16,1.2,26.0,active
171,Pawel Oleksy,2,4,1.8,37.0,active
1466,Filipe Oliveira,3,9,1.8,0.0,active
1392,João Oliveira,3,18,1.7,45.0,active
1232,Maciej Orlowski,2,8,1.6,10.0,active
1276,Jakub Osobinski,1,9,1.2,0.0,active
1183,Leonid Otczenaszenko,1,5,1.0,0.0,active
1233,Kamil Pajnowski,2,8,1.4,3.0,active
693,Mariusz Pawelek,1,6,1.7,17.0,active
74,Michal Pawlik,3,5,1.4,29.0,active
541,Szymon Pawlowski,3,18,2.0,37.0,active
1404,Jakub Pek,3,3,0.6,0.0,active
430,Matko Perdijic,1,18,1.5,0.0,active
1453,Pawel Perdun,3,8,0.5,0.0,active
1245,Jakub Persak,2,1,1.3,7.0,active
1467,Marko Pervan,3,9,1.6,0.0,active
1361,Adrian Petk,3,11,0.9,0.0,active
1135,Arkadiusz Piech,4,12,2.1,43.0,active
1167,Marcin Pietrowski,2,11,1.7,11.0,active
60,Kacper Pietrzczyk,2,4,0.5,0.0,active
621,Dawid Pietrzkiewicz,1,15,1.5,33.0,active
1435,Dani Pinillos,2,11,1.8,23.0,active
526,Damian Piotrowski,3,4,1.5,22.0,active
1325,Jose Antonio Pirulo,3,10,3.2,93.0,active
1433,Artur Pirog,3,9,0.9,3.0,active
595,Michal Piter-Bucko,2,15,1.8,32.0,active
124,Jakub Piatek,3,7,1.4,12.0,active
125,Kacper Piatek,3,7,1.5,19.0,active
1271,Marcel Pieczek,3,13,0.7,0.0,active
1060,Dominik Pila,3,4,1.0,12.0,active
1358,Wiktor Plesnierowicz,2,11,1.6,17.0,active
44,Bartlomiej Poczobut,3,17,1.5,22.0,active
12,Jacek Podgorski,2,9,2.0,66.0,active
1484,Oliver Podhorin,2,1,1.7,0.0,active
978,Michal Pojasek,2,11,1.2,0.0,active
1016,Piotr Polczak,2,18,1.6,6.0,active
1397,Mateusz Popczyk,4,18,0.5,0.0,active
877,Dominik Polap,2,7,1.5,26.0,active
1274,Robert Prochownik,4,15,1.3,10.0,active
888,Bartosz Przybysz,1,2,0.8,0.0,active
1106,Oliver Praznovsky,2,4,1.8,31.0,active
1290,Bartosz Pretnik,3,9,0.7,0.0,active
548,Artem Putiwcew,2,3,2.3,84.0,active
1165,Miquel Quintais,3,18,1.0,0.0,active
427,Maciej Radaszkiewicz,4,10,0.7,0.0,active
422,Mateusz Radecki,3,14,1.7,13.0,active
723,Jewhen Radionow,4,13,1.6,31.0,active
1094,Kacper Radkowski,2,18,1.5,3.0,active
1254,Kamil Radulj,3,1,1.5,11.0,active
319,Adam Radwanski,3,3,1.8,45.0,active
1434,Jowin Radzinski,3,10,0.8,0.0,active
1432,Michal Rakoczy,3,13,1.4,33.0,active
1463,Mikolaj Reclaf,1,6,0.5,0.0,active
414,Rafal Remisz,2,16,1.6,0.0,active
1261,Konrad Reszka,1,17,1.0,0.0,active
1275,Marcin Robak,4,17,2.2,52.0,active
1150,Joan Roman,3,11,2.6,67.0,active
918,Jakub Romanowicz,3,10,0.9,1.0,active
1030,Kacper Rosa,1,12,1.7,50.0,active
1455,Maciej Rosolek,4,2,2.3,0.0,active
1481,Raphael Rossi,2,14,2.1,0.0,active
710,Kamil Rozmus,2,8,1.5,4.0,active
718,Maksymilian Rozwandowicz,3,10,1.8,49.0,active
1266,Sebastian Rudol,2,17,1.6,4.0,active
695,Daniel Rumin,4,6,2.0,58.0,active
1472,Mikkel Rygaard,3,10,2.4,0.0,active
341,Dawid Ryndak,2,18,1.5,26.0,active
853,Przemyslaw Sajdak,3,10,1.5,35.0,active
1489,Piotr Samiec-Talar,4,17,1.7,0.0,active
1277,Adrian Sandach,1,9,0.5,0.0,active
1449,Blazej Sapielak,1,12,0.5,0.0,active
359,Pawel Sasin,2,2,2.1,73.0,active
1441,Athanasios Scheidt,3,14,1.4,8.0,active
1087,Quentin Seedorf,2,18,1.0,8.0,active
878,Lukasz Sekulski,4,10,2.2,51.0,active
1008,Jakub Serafin,3,13,1.8,58.0,active
1282,Radoslaw Sewerys,2,9,1.2,0.0,active
477,Artur Siemaszko,4,2,1.6,20.0,active
1091,Konrad Sieracki,3,6,1.6,0.0,active
1411,Damian Sierant,3,16,1.4,29.0,active
172,Marcin Sierczynski,2,5,1.4,42.0,active
1349,Kacper Sionkowski,4,5,0.5,0.0,active
1496,Rok Sirk,4,14,1.9,0.0,active
1240,Bartosz Siryk,1,1,0.5,0.0,active
456,Piotr Skiba,1,16,1.8,5.0,active
1387,Damian Skrzeczkowski,3,17,0.7,0.0,active
1371,Mateusz Skrzypczak,3,16,1.6,23.0,active
1398,Kamil Skreta,2,2,0.5,0.0,active
1452,Kacper Skora,4,2,0.5,0.0,active
683,Patryk Skorecki,3,6,1.4,21.0,active
1226,Marcel Sluga,4,12,0.5,4.0,active
1340,Bartosz Snopczynski,4,3,0.9,4.0,active
268,Szymon Sobczak,4,18,1.8,0.0,active
711,Jan Sobocinski,2,10,2.0,55.0,active
1310,Patryk Soboczynski,3,2,0.5,4.0,active
966,Dominik Sokol,3,14,1.4,16.0,active
463,Lukasz Solowiej,2,7,1.7,19.0,active
801,Maciej Spychala,3,16,1.7,49.0,active
767,Lukasz Splawski,4,13,1.7,41.0,active
1328,Dragoljub Srnic,3,10,1.8,17.0,active
814,Michal Staniucha,3,7,0.5,0.0,active
787,Aron Stasiak,3,8,1.7,27.0,active
1155,Jakub Staszak,2,5,1.2,21.0,active
1461,Kacper Staszkowian,2,4,0.6,0.0,active
480,Sebastian Steblecki,3,7,2.0,44.0,active
1353,Marcel Stefaniak,2,7,1.2,12.0,active
342,Marcin Stefanik,2,13,1.5,28.0,active
61,Przemyslaw Stolc,2,4,1.6,21.0,active
586,Jonatan Straus,2,16,1.6,32.0,active
472,Marcin Stromecki,3,8,1.6,29.0,active
1355,Karol Struski,3,8,1.5,41.0,active
1225,Dominik Stepien,4,14,0.5,0.0,active
336,Konrad Stepien,2,13,1.7,48.0,active
1312,Mateusz Stepien,3,2,1.0,0.0,active
1200,Patryk Stepinski,2,17,1.6,30.0,active
1014,Krystian Stepniowski,1,18,1.7,30.0,active
1450,Michal Surzyn,3,12,0.5,0.0,active
1486,Filip Szabaciuk,2,16,1.4,0.0,active
1238,Rafal Szady,4,8,0.5,0.0,active
1438,Bartosz Szafer,1,4,0.5,0.0,active
550,Przemyslaw Szarek,2,9,1.7,14.0,active
1149,Daniel Szczepan,4,6,1.6,27.0,active
1417,Kryspin Szczesniak,2,6,1.2,12.0,active
1487,Adrian Szczutowski,4,16,1.5,0.0,active
684,Dominik Szczech,3,6,1.0,2.0,active
1180,Marcin Szeibe,3,5,1.2,2.0,active
542,Bartosz Szeliga,2,7,1.8,56.0,active
973,Jan Szpaderski,1,14,0.7,0.0,active
1498,Marcin Szpakowski,3,9,1.0,0.0,active
900,Hubert Szramka,3,16,1.2,22.0,active
294,Jakub Szrek,2,12,1.4,1.0,active
597,Dawid Szufryn,2,15,1.7,21.0,active
1102,Mateusz Szwed,3,18,1.5,25.0,active
1378,Marcel Szymanski,4,14,0.5,0.0,active
1255,Kacper Szymkiewicz,3,1,0.5,0.0,active
1040,Mateusz Szymorek,2,5,1.5,41.0,active
672,Kamil Szymura,2,7,1.8,34.0,active
841,Grzegorz Szymusik,2,9,1.6,31.0,active
116,Remigiusz Szywacz,2,9,1.7,22.0,active
1327,Artur Sojka,3,10,1.0,0.0,active
576,Kamil Slaby,2,1,1.5,0.0,active
1184,Mateusz Slodowy,2,6,1.0,4.0,active
696,Kacper Tabis,2,12,1.6,46.0,active
117,Daniel Tanzyna,2,17,1.8,38.0,active
1025,Jakub Teclaw,3,16,1.2,1.0,active
1049,Emilie Thiakane,4,9,1.8,31.0,active
780,Szymon Tokarz,1,15,1.3,2.0,active
322,Hubert Tomalski,3,13,1.7,57.0,active
1302,Kacper Tomczak,2,2,1.0,0.0,active
195,Pawel Tomczyk,4,17,2.0,0.0,active
1329,Jakub Tosik,3,10,1.8,21.0,active
685,Damian Tront,3,11,1.8,45.0,active
1330,Michal Trabka,3,10,2.2,68.0,active
1403,Pawel Tupaj,3,11,1.6,45.0,active
362,Karol Turek,2,8,0.5,2.0,active
1390,Lukasz Turzyniecki,2,18,1.2,15.0,active
1259,Karol Twardowski,4,1,1.4,18.0,active
1368,Norbert Uchacz,2,13,0.7,0.0,active
344,Longinus Uwakwe,3,13,1.5,13.0,active
1456,Luis Valcarce,2,2,1.8,0.0,active
1156,Sam van Huffel,3,16,1.8,20.0,active
1458,Marcel Vasil,3,3,1.0,0.0,active
1426,Rafael Victor,4,15,1.6,8.0,active
1307,Marcus Vinicius,3,2,2.1,27.0,active
154,Michal Walski,3,15,1.5,41.0,active
983,Marcin Wasielewski,2,3,2.0,44.0,active
1256,Bartlomiej Wasiluk,3,1,1.4,30.0,active
384,Jakub Wawszczyk,2,2,1.5,27.0,active
363,Lukasz Wiech,2,14,1.3,0.0,active
1315,Jakub Wilczynski,4,2,0.8,0.0,active
205,Lukasz Winiarczyk,2,12,1.5,27.0,active
971,Patryk Winsztal,4,5,1.6,23.0,active
1395,Patryk Wiszniowski,3,18,0.5,0.0,active
775,Dawid Witkowski,2,6,1.4,19.0,active
1284,Dawid Wieckowski,2,9,0.7,0.0,active
855,Piotr Wlazlo,3,3,2.4,63.0,active
161,Pawel Wojciechowski,4,8,2.3,64.0,active
721,Maciej Wolski,2,10,1.9,58.0,active
1272,Rafal Wolsztynski,3,2,1.7,38.0,active
1050,Krzysztof Wolkowicz,2,7,1.5,41.0,active
270,Lukasz Wronski,3,5,1.8,55.0,active
568,Jakub Wrobel,4,1,1.7,0.0,active
947,Maciej Wrobel,3,12,0.5,6.0,active
1367,Krzysztof Wroblewski,1,13,0.5,0.0,active
1198,Jakub Wrabel,1,17,1.7,0.0,active
1331,Marcel Wszolek,3,10,1.0,0.0,active
1479,Mateusz Wyjadlowski,3,13,1.4,0.0,active
758,Mateusz Wypych,2,12,1.4,3.0,active
1468,Kubilay Yılmaz,4,9,1.8,0.0,active
1431,Michal Zabielski,2,6,0.5,0.0,active
337,Jakub Zagorski,2,8,0.7,0.0,active
988,Sebastian Zalepa,2,5,1.5,32.0,active
1418,Szymon Zalewski,2,6,1.4,19.0,active
131,Kamil Zapolnik,4,11,3.0,88.0,active
1241,Marcel Zapytowski,1,9,1.6,19.0,active
1052,Przemyslaw Zdybowicz,4,1,1.6,36.0,active
1469,Mario Zebic,3,9,1.8,0.0,active
104,Lukasz Zejdler,3,6,1.5,27.0,active
1339,Martin Zeman,3,3,2.2,61.0,active
230,Pawel Zielinski,2,11,2.0,57.0,active
464,Marcel Ziemann,3,4,1.7,42.0,active
1204,Erik Cikos,2,13,1.8,53.0,active
311,Lukas Ďuriska,2,18,1.7,36.0,active
1306,Mikolaj Labojko,3,2,1.2,8.0,active
1419,Pawel Lakota,1,1,1.2,0.0,active
1093,Szymon Lapinski,3,5,1.4,14.0,active
443,Wojciech Luczak,3,16,1.9,55.0,active
1288,Pawel Lysiak,3,9,1.7,41.0,active
1399,Damian Slesicki,3,2,1.0,8.0,active
1006,Maciej Sliwa,3,11,1.2,22.0,active
1407,Kacper Spiewak,4,3,1.8,51.0,active
957,Maciej Swidzikowski,2,14,1.7,25.0,active
498,Josip Soljic,3,1,1.7,0.0,active
625,Damir Sovsic,3,15,1.7,40.0,active
558,Samuel Stefanik,3,3,2.1,0.0,active
1476,Adam Zak,4,12,1.2,0.0,active
1316,Mateusz Zebrowski,4,2,2.0,47.0,active
852,Piotr Zemlo,2,12,1.4,39.0,active
1383,Wiktor Zoladz,3,15,1.0,12.0,active
347,Bartosz Zurek,3,5,1.4,27.0,active
867,Pawel Zyra,3,3,1.7,57.0,active
813,Wiktor Zytek,3,7,2.0,63.0,active
