id,name,position,club,value,points,season
486,Tomas Mikinic,3,12,1.8,39,2019/20 - wiosna
969,Patryk Mikita,4,14,2.2,57,2019/20 - wiosna
333,Michal Mikolajczyk,2,13,1.5,24,2019/20 - wiosna
334,Rafal Mikulec,2,1,1.4,0,2019/20 - wiosna
820,Patrik Misak,3,3,2.1,46,2019/20 - wiosna
494,Milosz Mleczko,1,17,1.6,0,2019/20 - wiosna
864,Lukasz Moneta,3,7,2.2,48,2019/20 - wiosna
462,Jakub Mosakowski,2,16,1.5,21,2019/20 - wiosna
628,Marek Mroz,3,6,1.4,36,2019/20 - wiosna
447,Patryk Mularczyk,3,18,1.7,23,2019/20 - wiosna
976,Bozo Musa,2,11,1.7,31,2019/20 - wiosna
1205,Michal Mydlarz,3,6,1.2,2,2019/20 - wiosna
788,Arkadiusz Najemski,2,5,1.6,3,2019/20 - wiosna
435,Tomasz Nawotka,2,10,1.9,24,2019/20 - wiosna
212,Rafal Niziolek,3,12,1.8,24,2019/20 - wiosna
1034,Daniel Niznik,1,5,1.5,16,2019/20 - wiosna
1081,Lukasz Norkowski,3,7,1.5,16,2019/20 - wiosna
970,Damian Nowak,4,7,2.0,33,2019/20 - wiosna
887,Konrad Nowak,3,12,1.7,1,2019/20 - wiosna
964,Jakub Nowakowski,3,14,0.5,5,2019/20 - wiosna
826,Adrian Odyjewski,1,7,1.0,6,2019/20 - wiosna
922,Kamil Ogorzaly,3,15,1.2,20,2019/20 - wiosna
1004,Henryk Ojamaa,3,17,1.9,0,2019/20 - wiosna
171,Pawel Oleksy,2,4,2.0,2,2019/20 - wiosna
1085,Michal Orzechowski,2,3,0.8,7,2019/20 - wiosna
1005,Jan Ostrowski,3,11,0.8,0,2019/20 - wiosna
1183,Leonid Otczenaszenko,1,6,1.0,0,2019/20 - wiosna
1221,Kamil Palacz,3,15,0.5,2,2019/20 - wiosna
21,Oskar Paprzycki,3,7,1.5,33,2019/20 - wiosna
1137,Damian Pawelski,1,3,0.5,0,2019/20 - wiosna
693,Mariusz Pawelek,1,6,1.7,33,2019/20 - wiosna
74,Michal Pawlik,3,5,1.4,0,2019/20 - wiosna
541,Szymon Pawlowski,3,18,2.2,48,2019/20 - wiosna
430,Matko Perdijic,1,18,1.7,0,2019/20 - wiosna
1135,Arkadiusz Piech,4,12,2.2,56,2019/20 - wiosna
1143,Daniel Pietraszkiewicz,3,3,0.5,2,2019/20 - wiosna
1167,Marcin Pietrowski,2,11,1.9,16,2019/20 - wiosna
60,Kacper Pietrzczyk,2,4,0.5,0,2019/20 - wiosna
621,Dawid Pietrzkiewicz,1,15,1.4,0,2019/20 - wiosna
526,Damian Piotrowski,3,4,1.5,28,2019/20 - wiosna
595,Michal Piter-Bucko,2,15,2.5,73,2019/20 - wiosna
124,Jakub Piatek,3,7,1.4,9,2019/20 - wiosna
125,Kacper Piatek,3,7,1.5,15,2019/20 - wiosna
1060,Dominik Pila,3,4,0.5,4,2019/20 - wiosna
12,Jacek Podgorski,2,9,1.4,7,2019/20 - wiosna
978,Michal Pojasek,2,11,1.2,0,2019/20 - wiosna
1016,Piotr Polczak,2,18,1.8,15,2019/20 - wiosna
877,Dominik Polap,3,7,1.5,34,2019/20 - wiosna
150,Milosz Przybecki,3,1,1.5,0,2019/20 - wiosna
1106,Oliver Praznovsky,2,4,1.8,50,2019/20 - wiosna
241,Adrian Purzycki,3,11,1.6,26,2019/20 - wiosna
548,Artem Putiwcew,2,3,2.2,52,2019/20 - wiosna
1165,Miquel Quintais,3,18,1.0,0,2019/20 - wiosna
422,Mateusz Radecki,3,14,1.7,0,2019/20 - wiosna
723,Jewhen Radionow,4,13,1.9,44,2019/20 - wiosna
1094,Kacper Radkowski,2,18,1.5,16,2019/20 - wiosna
280,Jaroslaw Ratajczak,2,4,1.6,11,2019/20 - wiosna
414,Rafal Remisz,2,16,1.7,3,2019/20 - wiosna
129,Dawid Rogalski,4,1,1.6,0,2019/20 - wiosna
1150,Joan Roman,3,11,2.3,51,2019/20 - wiosna
1030,Kacper Rosa,1,12,1.5,0,2019/20 - wiosna
341,Dawid Ryndak,2,18,1.5,23,2019/20 - wiosna
1047,Marcin Ryszka,3,5,0.5,2,2019/20 - wiosna
853,Przemyslaw Sajdak,3,10,1.5,0,2019/20 - wiosna
1087,Quentin Seedorf,2,18,1.0,6,2019/20 - wiosna
1008,Jakub Serafin,3,13,1.7,43,2019/20 - wiosna
898,Maciej Serbintowicz,3,16,0.5,0,2019/20 - wiosna
477,Artur Siemaszko,4,2,1.6,18,2019/20 - wiosna
172,Marcin Sierczynski,2,5,1.4,30,2019/20 - wiosna
1017,Jakub Sinior,2,18,1.5,4,2019/20 - wiosna
456,Piotr Skiba,1,16,1.8,35,2019/20 - wiosna
683,Patryk Skorecki,3,6,1.4,16,2019/20 - wiosna
1226,Marcel Sluga,4,12,0.5,1,2019/20 - wiosna
1028,Tadeusz Socha,2,15,1.7,5,2019/20 - wiosna
966,Dominik Sokol,3,6,1.2,17,2019/20 - wiosna
463,Lukasz Solowiej,2,7,1.7,29,2019/20 - wiosna
801,Maciej Spychala,3,16,1.5,0,2019/20 - wiosna
767,Lukasz Splawski,4,13,1.6,16,2019/20 - wiosna
814,Michal Staniucha,4,7,0.5,1,2019/20 - wiosna
787,Aron Stasiak,4,8,1.6,0,2019/20 - wiosna
1155,Jakub Staszak,2,16,0.5,2,2019/20 - wiosna
480,Sebastian Steblecki,3,7,2.0,40,2019/20 - wiosna
342,Marcin Stefanik,3,13,1.5,40,2019/20 - wiosna
61,Przemyslaw Stolc,2,4,1.6,45,2019/20 - wiosna
586,Jonatan Straus,2,16,1.5,26,2019/20 - wiosna
472,Marcin Stromecki,3,8,1.6,0,2019/20 - wiosna
1225,Dominik Stepien,4,14,0.5,1,2019/20 - wiosna
336,Konrad Stepien,2,13,1.6,34,2019/20 - wiosna
1200,Patryk Stepinski,2,17,1.6,21,2019/20 - wiosna
1014,Krystian Stepniowski,1,18,1.8,23,2019/20 - wiosna
550,Przemyslaw Szarek,2,9,1.7,14,2019/20 - wiosna
1149,Daniel Szczepan,4,6,1.6,21,2019/20 - wiosna
684,Dominik Szczech,3,6,1.0,7,2019/20 - wiosna
1180,Marcin Szeibe,3,5,1.2,2,2019/20 - wiosna
542,Bartosz Szeliga,2,7,1.8,11,2019/20 - wiosna
728,Serafin Szota,2,16,1.2,35,2019/20 - wiosna
973,Jan Szpaderski,1,11,0.7,0,2019/20 - wiosna
900,Hubert Szramka,4,16,0.5,0,2019/20 - wiosna
597,Dawid Szufryn,2,15,1.7,32,2019/20 - wiosna
1102,Mateusz Szwed,3,18,1.5,32,2019/20 - wiosna
1040,Mateusz Szymorek,2,5,1.5,32,2019/20 - wiosna
672,Kamil Szymura,2,7,1.9,34,2019/20 - wiosna
841,Grzegorz Szymusik,2,9,1.6,0,2019/20 - wiosna
116,Remigiusz Szywacz,2,9,1.7,23,2019/20 - wiosna
576,Kamil Slaby,2,12,1.5,0,2019/20 - wiosna
1184,Mateusz Slodowy,2,6,1.0,9,2019/20 - wiosna
102,Wojciech Slomka,3,18,1.3,8,2019/20 - wiosna
696,Kacper Tabis,2,12,1.6,40,2019/20 - wiosna
117,Daniel Tanzyna,2,17,1.8,0,2019/20 - wiosna
1025,Jakub Teclaw,3,16,1.6,45,2019/20 - wiosna
1132,Ernest Terpilowski,3,3,1.2,0,2019/20 - wiosna
1049,Emilie Thiakane,4,9,1.8,25,2019/20 - wiosna
780,Szymon Tokarz,1,15,1.0,0,2019/20 - wiosna
322,Hubert Tomalski,3,13,1.6,43,2019/20 - wiosna
146,Milosz Trojak,3,12,1.6,23,2019/20 - wiosna
685,Damian Tront,3,11,1.8,25,2019/20 - wiosna
1214,Jakub Turowski,3,4,0.5,1,2019/20 - wiosna
1224,Dominik Urban,3,15,0.5,1,2019/20 - wiosna
344,Longinus Uwakwe,3,13,1.5,18,2019/20 - wiosna
1156,Sam van Huffel,3,16,1.9,38,2019/20 - wiosna
1144,Bruno Waclawek,3,3,0.5,0,2019/20 - wiosna
154,Michal Walski,3,15,1.4,24,2019/20 - wiosna
979,Marcin Warcholak,2,11,1.8,0,2019/20 - wiosna
1130,Damian Warnecki,4,5,0.5,-2,2019/20 - wiosna
983,Marcin Wasielewski,2,3,2.1,51,2019/20 - wiosna
384,Jakub Wawszczyk,2,2,1.4,0,2019/20 - wiosna
199,Tobiasz Weinzettel,1,12,1.5,0,2019/20 - wiosna
205,Lukasz Winiarczyk,2,12,1.5,17,2019/20 - wiosna
971,Patryk Winsztal,4,5,1.7,39,2019/20 - wiosna
30,Andrzej Witan,1,2,1.7,0,2019/20 - wiosna
855,Piotr Wlazlo,3,3,2.5,73,2019/20 - wiosna
912,Adam Wolniewicz,2,6,1.6,0,2019/20 - wiosna
1050,Krzysztof Wolkowicz,2,7,1.5,25,2019/20 - wiosna
270,Lukasz Wronski,3,5,1.7,0,2019/20 - wiosna
568,Jakub Wrobel,4,10,1.7,0,2019/20 - wiosna
947,Maciej Wrobel,3,12,0.5,0,2019/20 - wiosna
758,Mateusz Wypych,2,12,1.4,13,2019/20 - wiosna
1175,Sebastian Wachala,4,15,0.5,0,2019/20 - wiosna
337,Jakub Zagorski,2,8,0.7,0,2019/20 - wiosna
945,Michal Zajac,2,13,0.5,0,2019/20 - wiosna
988,Sebastian Zalepa,2,1,1.4,0,2019/20 - wiosna
131,Kamil Zapolnik,4,11,2.1,0,2019/20 - wiosna
1188,Mateusz Zatwarnicki,3,11,0.5,1,2019/20 - wiosna
1052,Przemyslaw Zdybowicz,4,5,1.6,19,2019/20 - wiosna
104,Lukasz Zejdler,3,6,1.5,23,2019/20 - wiosna
230,Pawel Zielinski,2,11,2.0,33,2019/20 - wiosna
464,Marcel Ziemann,2,4,1.7,46,2019/20 - wiosna
1204,Erik Cikos,2,13,1.8,49,2019/20 - wiosna
311,Lukas Ďuriska,2,18,1.7,6,2019/20 - wiosna
1093,Szymon Lapinski,3,5,1.4,12,2019/20 - wiosna
679,Wojciech Laski,3,6,1.3,0,2019/20 - wiosna
997,Jakub Lukowski,3,11,2.4,47,2019/20 - wiosna
1006,Maciej Sliwa,3,11,1.2,28,2019/20 - wiosna
957,Maciej Swidzikowski,2,14,1.7,40,2019/20 - wiosna
625,Damir Sovsic,3,15,1.8,0,2019/20 - wiosna
852,Piotr Zemlo,2,12,1.4,33,2019/20 - wiosna
347,Bartosz Zurek,3,13,1.4,37,2019/20 - wiosna
867,Pawel Zyra,3,3,1.2,0,2019/20 - wiosna
813,Wiktor Zytek,3,13,1.8,47,2019/20 - wiosna
