id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
670,Dominik Kulawiak, Obronca,"1,60",GKS Jastrzebie ,,MOSiR Jastrzebie Zdroj,Polska,2019/20 - jesien,1566,0,0,0,0,0,1,0,0,4,0,59
670,Dominik Kulawiak, Obronca,"1,60",GKS Jastrzebie ,,MOSiR Jastrzebie Zdroj,Polska,2018/19 - wiosna,1054,0,0,0,0,0,0,0,0,5,0,47
670,Dominik Kulawiak, Obronca,"1,60",GKS Jastrzebie ,,MOSiR Jastrzebie Zdroj,Polska,2018/19 - jesien,1587,0,1,0,0,0,0,0,0,4,0,56
288,Dominik Kun, Pomocnik,"1,80",Widzew Lodz,,Sandecja Nowy Sacz,Polska,2019/20 - wiosna,1218,2,0,0,0,1,0,0,0,1,0,44
288,Dominik Kun, Pomocnik,"1,80",Widzew Lodz,,Sandecja Nowy Sacz,Polska,2019/20 - jesien,1451,2,1,0,0,0,0,0,0,3,0,63
288,Dominik Kun, Pomocnik,"1,80",Widzew Lodz,,Sandecja Nowy Sacz,Polska,2018/19 - wiosna,1062,1,0,0,0,2,0,0,0,2,0,47
288,Dominik Kun, Pomocnik,"1,80",Widzew Lodz,,Sandecja Nowy Sacz,Polska,2018/19 - jesien,1368,1,0,0,0,0,0,0,0,2,0,55
288,Dominik Kun, Pomocnik,"1,80",Widzew Lodz,,Sandecja Nowy Sacz,Polska,2017/18 - wiosna,853,2,2,0,0,1,0,0,0,1,0,50
851,Grzegorz Kuswik, Napastnik,"1,90",Stomil Olsztyn,,Wisla Plock,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
851,Grzegorz Kuswik, Napastnik,"1,90",Stomil Olsztyn,,Wisla Plock,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
851,Grzegorz Kuswik, Napastnik,"1,90",Stomil Olsztyn,,Wisla Plock,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
851,Grzegorz Kuswik, Napastnik,"1,90",Stomil Olsztyn,,Wisla Plock,Polska,2018/19 - jesien,718,4,1,0,0,1,0,0,0,2,0,55
1210,Jan Kuzma, Pomocnik,"0,50",Sandecja Nowy Sacz,,wychowanek,Polska,2019/20 - wiosna,89,0,0,0,0,0,0,0,0,1,0,5
739,Szymon Kuzma, Pomocnik,"0,80",Sandecja Nowy Sacz,,Podhale Nowy Targ,Polska,2019/20 - wiosna,79,0,0,0,0,0,0,0,0,1,0,3
739,Szymon Kuzma, Pomocnik,"0,80",Sandecja Nowy Sacz,,Podhale Nowy Targ,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
739,Szymon Kuzma, Pomocnik,"0,80",Sandecja Nowy Sacz,,Podhale Nowy Targ,Polska,2018/19 - wiosna,219,0,0,0,0,0,0,0,0,0,0,8
739,Szymon Kuzma, Pomocnik,"0,80",Sandecja Nowy Sacz,,Podhale Nowy Targ,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
908,Dominik Kakolewski, Bramkarz,"1,30",Bruk-Bet Termalica Nieciecza,,Wigry Suwalki,Polska,2019/20 - wiosna,375,0,0,0,0,0,0,0,0,0,0,2
908,Dominik Kakolewski, Bramkarz,"1,30",Bruk-Bet Termalica Nieciecza,,Wigry Suwalki,Polska,2019/20 - jesien,1710,0,0,0,0,0,0,0,1,0,0,55
908,Dominik Kakolewski, Bramkarz,"1,30",Bruk-Bet Termalica Nieciecza,,Wigry Suwalki,Polska,2018/19 - wiosna,360,0,0,0,0,0,0,0,0,0,0,12
968,  Leandro, Napastnik,"2,10",Radomiak Radom,,Zawisza Rzgow,Brazylia,2019/20 - wiosna,284,1,0,0,1,1,0,0,0,1,0,18
968,  Leandro, Napastnik,"2,10",Radomiak Radom,,Zawisza Rzgow,Brazylia,2019/20 - jesien,1516,4,3,0,2,0,0,1,0,3,0,81
524,Mikolaj Lebedynski, Napastnik,"2,00",Chrobry Glogow,,Gornik Leczna,Polska,2019/20 - wiosna,835,4,1,0,0,0,0,0,0,2,0,47
524,Mikolaj Lebedynski, Napastnik,"2,00",Chrobry Glogow,,Gornik Leczna,Polska,2019/20 - jesien,1598,3,3,0,0,0,0,0,0,2,0,72
524,Mikolaj Lebedynski, Napastnik,"2,00",Chrobry Glogow,,Gornik Leczna,Polska,2018/19 - wiosna,904,2,2,0,0,1,0,0,0,1,0,50
524,Mikolaj Lebedynski, Napastnik,"2,00",Chrobry Glogow,,Gornik Leczna,Polska,2017/18 - wiosna,703,0,0,0,0,1,0,0,0,0,0,35
469,Grzegorz Lech, Pomocnik,"2,00",Stomil Olsztyn,,Arka Gdynia,Polska,2019/20 - wiosna,286,0,0,0,0,0,0,0,0,0,0,13
469,Grzegorz Lech, Pomocnik,"2,00",Stomil Olsztyn,,Arka Gdynia,Polska,2019/20 - jesien,1384,5,0,0,3,1,0,1,0,1,0,87
469,Grzegorz Lech, Pomocnik,"2,00",Stomil Olsztyn,,Arka Gdynia,Polska,2018/19 - wiosna,1032,6,3,0,1,0,0,0,0,4,0,81
469,Grzegorz Lech, Pomocnik,"2,00",Stomil Olsztyn,,Arka Gdynia,Polska,2018/19 - jesien,1577,5,2,0,0,0,0,0,0,4,0,83
469,Grzegorz Lech, Pomocnik,"2,00",Stomil Olsztyn,,Arka Gdynia,Polska,2017/18 - wiosna,959,2,2,0,0,0,0,0,0,4,0,56
1033,Pawel Lenarcik, Bramkarz,"1,70",GKS Belchatow,,Mazovia Tomaszow,Polska,2019/20 - wiosna,755,0,0,0,0,0,0,0,0,0,0,21
1033,Pawel Lenarcik, Bramkarz,"1,70",GKS Belchatow,,Mazovia Tomaszow,Polska,2019/20 - jesien,1530,0,0,0,0,0,0,0,0,0,0,53
632,Juliusz Letniowski, Pomocnik,"2,00",Arka Gdynia,,Lech Poznan,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
632,Juliusz Letniowski, Pomocnik,"2,00",Arka Gdynia,,Lech Poznan,Polska,2018/19 - jesien,1465,7,2,0,0,1,0,0,0,6,0,95
955,Mateusz Lewandowski, Obronca,"1,90",Radomiak Radom,,Lechia Gdansk,Polska,2019/20 - wiosna,415,0,0,0,0,0,0,0,0,3,0,16
955,Mateusz Lewandowski, Obronca,"1,90",Radomiak Radom,,Lechia Gdansk,Polska,2019/20 - jesien,357,1,1,0,0,0,0,0,0,4,0,33
452,Szymon Lewicki, Napastnik,"2,10",GKS Tychy,,Rakow Czestochowa,Polska,2019/20 - wiosna,873,4,2,0,0,0,0,0,0,0,0,48
452,Szymon Lewicki, Napastnik,"2,10",GKS Tychy,,Rakow Czestochowa,Polska,2019/20 - jesien,296,1,0,0,0,0,0,0,0,0,0,25
452,Szymon Lewicki, Napastnik,"2,10",GKS Tychy,,Rakow Czestochowa,Polska,2018/19 - wiosna,386,2,0,0,0,0,0,0,0,0,0,26
452,Szymon Lewicki, Napastnik,"2,10",GKS Tychy,,Rakow Czestochowa,Polska,2018/19 - jesien,1176,6,2,0,0,1,0,1,0,4,0,81
452,Szymon Lewicki, Napastnik,"2,10",GKS Tychy,,Rakow Czestochowa,Polska,2017/18 - wiosna,666,4,0,0,1,1,0,0,0,1,0,46
859,Pawel Lezon, Pomocnik,"0,80",Bruk-Bet Termalica Nieciecza,,Tarnovia Tarnow,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
859,Pawel Lezon, Pomocnik,"0,80",Bruk-Bet Termalica Nieciecza,,Tarnovia Tarnow,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
859,Pawel Lezon, Pomocnik,"0,80",Bruk-Bet Termalica Nieciecza,,Tarnovia Tarnow,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
1039,Bartlomiej Lisowski, Obronca,"0,50",GKS Belchatow,,wychowanek,Polska,2019/20 - wiosna,46,0,0,0,0,0,0,0,0,0,0,0
1039,Bartlomiej Lisowski, Obronca,"0,50",GKS Belchatow,,wychowanek,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
1191,Skënder Loshi, Napastnik,"1,50",Stomil Olsztyn,,SV TEC,Albania,2019/20 - wiosna,59,1,0,0,0,0,0,0,0,0,0,10
1141,Tomasz Loska, Bramkarz,"1,80",Bruk-Bet Termalica Nieciecza,,Gornik Zabrze,Polska,2019/20 - wiosna,852,0,0,0,0,0,0,0,0,2,0,32
1197,Ruben Lopez Huesca, Napastnik,"1,70",Sandecja Nowy Sacz,,Cracovia,Hiszpania,2019/20 - wiosna,282,2,0,0,0,0,0,0,0,2,0,19
71,Mateusz Machaj, Pomocnik,"2,00",Chrobry Glogow,,Jagiellonia Bialystok,Polska,2019/20 - wiosna,6,0,0,0,0,0,0,0,0,0,0,2
71,Mateusz Machaj, Pomocnik,"2,00",Chrobry Glogow,,Jagiellonia Bialystok,Polska,2019/20 - jesien,103,0,0,0,0,0,0,0,0,0,0,3
71,Mateusz Machaj, Pomocnik,"2,00",Chrobry Glogow,,Jagiellonia Bialystok,Polska,2018/19 - wiosna,1066,3,2,0,1,0,1,0,0,4,0,53
71,Mateusz Machaj, Pomocnik,"2,00",Chrobry Glogow,,Jagiellonia Bialystok,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
71,Mateusz Machaj, Pomocnik,"2,00",Chrobry Glogow,,Jagiellonia Bialystok,Polska,2017/18 - wiosna,883,7,3,0,2,0,0,0,0,2,0,74
167,Mariusz Magiera, Obronca,"1,60",GKS Belchatow,,Podbeskidzie Bielsko-Biala,Polska,2019/20 - wiosna,1133,0,0,1,0,0,1,0,0,1,0,24
167,Mariusz Magiera, Obronca,"1,60",GKS Belchatow,,Podbeskidzie Bielsko-Biala,Polska,2019/20 - jesien,1170,0,0,0,0,0,0,0,0,4,0,43
167,Mariusz Magiera, Obronca,"1,60",GKS Belchatow,,Podbeskidzie Bielsko-Biala,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
