Player;Link;;
Gliwa Michał;https://fantasy.ekstraklasa.org/player/630;33;630
Golla Wojciech;https://fantasy.ekstraklasa.org/player/1019;33;1019
Gorgon Alexander;https://fantasy.ekstraklasa.org/player/1486;33;1486
Gostomski Hubert;https://fantasy.ekstraklasa.org/player/1377;33;1377
Grabowski Marcin;https://fantasy.ekstraklasa.org/player/1024;33;1024
Gradecki Bartłomiej;https://fantasy.ekstraklasa.org/player/1509;33;1509
Grudziński Mateusz;https://fantasy.ekstraklasa.org/player/1409;33;1409
Gruszkowski Konrad;https://fantasy.ekstraklasa.org/player/1528;33;1528
Gryszkiewicz Adrian;https://fantasy.ekstraklasa.org/player/844;33;844
Grzesik Jan;https://fantasy.ekstraklasa.org/player/1225;33;1225
Guldan Ľubomír;https://fantasy.ekstraklasa.org/player/387;33;387
Gumny Robert;https://fantasy.ekstraklasa.org/player/138;33;138
Gut Jakub;https://fantasy.ekstraklasa.org/player/1536;33;1536
Gutkovskis Vladislavs;https://fantasy.ekstraklasa.org/player/346;33;346
Gutowski Konrad;https://fantasy.ekstraklasa.org/player/1556;33;1556
Gwilia Walerian;https://fantasy.ekstraklasa.org/player/1106;33;1106
Gąska Damian;https://fantasy.ekstraklasa.org/player/1018;33;1018
Hajda Wojciech;https://fantasy.ekstraklasa.org/player/807;33;807
Hanca Sergiu;https://fantasy.ekstraklasa.org/player/1103;33;1103
Handzlik Konrad;https://fantasy.ekstraklasa.org/player/208;33;208
Haydary Omran;https://fantasy.ekstraklasa.org/player/1365;33;1365
Helik Michał;https://fantasy.ekstraklasa.org/player/284;33;284
Holúbek Jakub;https://fantasy.ekstraklasa.org/player/1243;33;1243
Hostikka Santeri;https://fantasy.ekstraklasa.org/player/1095;33;1095
Hoyo-Kowalski Daniel;https://fantasy.ekstraklasa.org/player/1170;33;1170
Hołownia Mateusz;https://fantasy.ekstraklasa.org/player/1008;33;1008
Hroššo Lukáš;https://fantasy.ekstraklasa.org/player/1138;33;1138
Huk Tomáš;https://fantasy.ekstraklasa.org/player/1241;33;1241
Hyjek Javier Ajenjo;https://fantasy.ekstraklasa.org/player/1481;33;1481
Hładun Dominik;https://fantasy.ekstraklasa.org/player/382;33;382
Iliev Dejan;https://fantasy.ekstraklasa.org/player/1333;33;1333
Imaz Jesús;https://fantasy.ekstraklasa.org/player/765;33;765
Ishak Mikael;https://fantasy.ekstraklasa.org/player/1475;33;1475
Ivanov Robert;https://fantasy.ekstraklasa.org/player/1535;33;1535
Jablonský David;https://fantasy.ekstraklasa.org/player/1183;33;1183
Jagiełło Aleksander;https://fantasy.ekstraklasa.org/player/683;33;683
Jakóbowski Michał;https://fantasy.ekstraklasa.org/player/1460;33;1460
Janasik Patryk;https://fantasy.ekstraklasa.org/player/1491;33;1491
Janicki Rafał;https://fantasy.ekstraklasa.org/player/166;33;166
Janicki Robert;https://fantasy.ekstraklasa.org/player/1461;33;1461
Janža Erik;https://fantasy.ekstraklasa.org/player/1192;33;1192
Jaroch Bartosz;https://fantasy.ekstraklasa.org/player/1415;33;1415
Jaroch Gracjan;https://fantasy.ekstraklasa.org/player/1466;33;1466
Jimenez Jesus;https://fantasy.ekstraklasa.org/player/987;33;987
Jirka Erik;https://fantasy.ekstraklasa.org/player/1332;33;1332
Jodłowiec Tomasz;https://fantasy.ekstraklasa.org/player/209;33;209
Jończy Dominik;https://fantasy.ekstraklasa.org/player/581;33;581
Juranović Josip;https://fantasy.ekstraklasa.org/player/1479;33;1479
Jóźwiak Kamil;https://fantasy.ekstraklasa.org/player/147;33;147
Jędrzejczyk Artur;https://fantasy.ekstraklasa.org/player/535;33;535
Kaczarawa Nika;https://fantasy.ekstraklasa.org/player/636;33;636
Kaczmarek Mateusz;https://fantasy.ekstraklasa.org/player/1396;33;1396
Kadlec Andrej;https://fantasy.ekstraklasa.org/player/1107;33;1107
Kalenik Oskar;https://fantasy.ekstraklasa.org/player/1487;33;1487
Kalinowski Dominik;https://fantasy.ekstraklasa.org/player/1346;33;1346
Kamiński Jakub;https://fantasy.ekstraklasa.org/player/1210;33;1210
Kamiński Krzysztof;https://fantasy.ekstraklasa.org/player/1358;33;1358
Kanach Radosław;https://fantasy.ekstraklasa.org/player/22;33;22
Kanté José;https://fantasy.ekstraklasa.org/player/469;33;469
Kapek Przemysław;https://fantasy.ekstraklasa.org/player/1394;33;1394
Kapustka Bartosz;https://fantasy.ekstraklasa.org/player/1521;33;1521
Karbownik Michał;https://fantasy.ekstraklasa.org/player/1143;33;1143
Kałuziński Jakub;https://fantasy.ekstraklasa.org/player/1382;33;1382
Kieliba Bartosz;https://fantasy.ekstraklasa.org/player/1452;33;1452
Kiełb Jakub;https://fantasy.ekstraklasa.org/player/1453;33;1453
Kirkeskov Mikkel;https://fantasy.ekstraklasa.org/player/847;33;847
Klemenz Lukas;https://fantasy.ekstraklasa.org/player/994;33;994
Klupś Tymoteusz;https://fantasy.ekstraklasa.org/player/846;33;846
Kobryń Rafał;https://fantasy.ekstraklasa.org/player/1294;33;1294
Kochalski Mateusz;https://fantasy.ekstraklasa.org/player/1384;33;1384
Kocsis Gergő;https://fantasy.ekstraklasa.org/player/1422;33;1422
Kocyła Dawid;https://fantasy.ekstraklasa.org/player/1345;33;1345
Koj Michał;https://fantasy.ekstraklasa.org/player/285;33;285
Komor Aleksander;https://fantasy.ekstraklasa.org/player/1416;33;1416
Konczkowski Martin;https://fantasy.ekstraklasa.org/player/286;33;286
Kondracki Kacper;https://fantasy.ekstraklasa.org/player/1499;33;1499
Kopacz Bartosz;https://fantasy.ekstraklasa.org/player/640;33;640
Kopczyński Michał;https://fantasy.ekstraklasa.org/player/210;33;210
Kostewycz Wołodymyr;https://fantasy.ekstraklasa.org/player/524;33;524
Kostorz Kacper;https://fantasy.ekstraklasa.org/player/1218;33;1218
Kotowicz Grzegorz;https://fantasy.ekstraklasa.org/player/1385;33;1385
Kowalczyk Sebastian;https://fantasy.ekstraklasa.org/player/580;33;580
Kozłowski Jan;https://fantasy.ekstraklasa.org/player/1439;33;1439
Kozłowski Kacper;https://fantasy.ekstraklasa.org/player/277;33;277
Kościelny Kamil;https://fantasy.ekstraklasa.org/player/1321;33;1321
Košťál Martin;https://fantasy.ekstraklasa.org/player/730;33;730
Kramarz Adam;https://fantasy.ekstraklasa.org/player/1445;33;1445
Krawczyk Piotr;https://fantasy.ekstraklasa.org/player/1193;33;1193
Kraweć Wasyl;https://fantasy.ekstraklasa.org/player/1547;33;1547
Kruk Kamil;https://fantasy.ekstraklasa.org/player/1393;33;1393
Kryeziu Egzon;https://fantasy.ekstraklasa.org/player/1366;33;1366
Krzysztofek Dariusz;https://fantasy.ekstraklasa.org/player/1248;33;1248
Krzyżak Oskar;https://fantasy.ekstraklasa.org/player/1257;33;1257
Królczyk Patryk;https://fantasy.ekstraklasa.org/player/1118;33;1118
Kubica Krzysztof;https://fantasy.ekstraklasa.org/player/988;33;988
Kubicki Jarosław;https://fantasy.ekstraklasa.org/player/395;33;395
Kucharczyk Michał;https://fantasy.ekstraklasa.org/player/211;33;211
Kuciak Dušan;https://fantasy.ekstraklasa.org/player/558;33;558
Kudła Dawid;https://fantasy.ekstraklasa.org/player/948;33;948
Kun Patryk;https://fantasy.ekstraklasa.org/player/701;33;701
Kupczak Mateusz;https://fantasy.ekstraklasa.org/player/340;33;340
Kuveljić Nikola;https://fantasy.ekstraklasa.org/player/1342;33;1342
Kuzdra Jakub;https://fantasy.ekstraklasa.org/player/1462;33;1462
