Round,Team_home,Team_home_abr,Score_home,Result_home,Team_away,Team_away_abr,Score_away,Result_away
5,Gornik Zabrze,GOR,0,D,Wisla Krakow,WIS,0,D
5,Cracovia,CRA,2,D,Rakow Czestochowa,RCZ,2,D
5,Lechia Gdansk,LGD,4,W,Podbeskidzie Bielsko-Biala,POD,0,L
5,Jagiellonia Bialystok,JAG,0,L,KGHM Zaglebie Lubin,ZAG,1,W
5,PGE FKS Stal Mielec,STM,3,W,Piast Gliwice,PIA,2,L
5,Legia Warszawa,LEG,2,W,Slask Wroclaw,SLA,1,L
5,Lech Poznan,LPO,-,-,Pogon Szczecin,POG,-,-
6,Rakow Czestochowa,RCZ,3,W,Wisla Plock,WPL,0,L
6,Slask Wroclaw,SLA,3,W,Cracovia,CRA,1,L
6,Podbeskidzie Bielsko-Biala,POD,1,W,PGE FKS Stal Mielec,STM,0,L
6,KGHM Zaglebie Lubin,ZAG,2,W,Gornik Zabrze,GOR,0,L
6,Piast Gliwice,PIA,1,L,Lech Poznan,LPO,4,W
6,Wisla Krakow,WIS,1,L,Lechia Gdansk,LGD,3,W
6,Pogon Szczecin,POG,3,W,Jagiellonia Bialystok,JAG,0,L
6,Warta Poznan,WAR,0,L,Legia Warszawa,LEG,3,W
7,Cracovia,CRA,1,W,Piast Gliwice,PIA,0,L
7,Gornik Zabrze,GOR,1,L,Rakow Czestochowa,RCZ,3,W
7,Jagiellonia Bialystok,JAG,2,W,Lech Poznan,LPO,1,L
7,Wisla Plock,WPL,1,W,Slask Wroclaw,SLA,0,L
7,PGE FKS Stal Mielec,STM,0,L,Wisla Krakow,WIS,6,W
7,Legia Warszawa,LEG,2,W,KGHM Zaglebie Lubin,ZAG,1,L
7,Podbeskidzie Bielsko-Biala,POD,1,L,Warta Poznan,WAR,2,W
7,Lechia Gdansk,LGD,0,L,Pogon Szczecin,POG,1,W
8,Piast Gliwice,PIA,2,D,Wisla Plock,WPL,2,D
8,KGHM Zaglebie Lubin,ZAG,1,D,Lechia Gdansk,LGD,1,D
8,Wisla Krakow,WIS,3,W,Podbeskidzie Bielsko-Biala,POD,0,L
8,Slask Wroclaw,SLA,1,W,Jagiellonia Bialystok,JAG,0,L
8,Pogon Szczecin,POG,0,D,Legia Warszawa,LEG,0,D
8,Rakow Czestochowa,RCZ,2,W,PGE FKS Stal Mielec,STM,1,L
8,Lech Poznan,LPO,1,D,Cracovia,CRA,1,D
8,Warta Poznan,WAR,0,L,Gornik Zabrze,GOR,1,W
9,PGE FKS Stal Mielec,STM,0,L,Warta Poznan,WAR,1,W
9,Cracovia,CRA,3,W,Jagiellonia Bialystok,JAG,1,L
9,Legia Warszawa,LEG,2,W,Lech Poznan,LPO,1,L
9,Rakow Czestochowa,RCZ,0,D,Wisla Krakow,WIS,0,D
9,Lechia Gdansk,LGD,3,W,Slask Wroclaw,SLA,2,L
9,Gornik Zabrze,GOR,1,L,Piast Gliwice,PIA,2,W
9,Podbeskidzie Bielsko-Biala,POD,2,W,KGHM Zaglebie Lubin,ZAG,1,L
9,Wisla Plock,WPL,0,D,Pogon Szczecin,POG,0,D
