round;team;team_abr;home_away;score;result
10;Jagiellonia Bialystok;JAG;H;05:02;W
10;Wisla Plock;WPL;A;02:05;L
11;Wisla Plock;WPL;H;00:01;L
11;Cracovia;CRA;A;01:00;W
11;Gornik Zabrze;GOR;H;02:01;W
11;Pogon Szczecin;POG;A;01:02;L
11;PGE FKS Stal Mielec;STM;H;03:01;W
11;Jagiellonia Bialystok;JAG;A;01:03;L
11;Podbeskidzie Bielsko-Biala;POD;H;00:02;L
11;Slask Wroclaw;SLA;A;02:00;W
11;Wisla Krakow;WIS;H;01:02;L
11;KGHM Zaglebie Lubin;ZAG;A;02:01;W
11;Rakow Czestochowa;RCZ;H;01:00;W
11;Warta Poznan;WAR;A;00:01;L
11;Legia Warszawa;LEG;H;02:02;D
11;Piast Gliwice;PIA;A;02:02;D
11;Lechia Gdansk;LGD;H;00:01;L
11;Lech Poznan;LPO;A;01:00;W
12;Cracovia;CRA;H;01:01;D
12;Wisla Krakow;WIS;A;01:01;D
12;Jagiellonia Bialystok;JAG;H;04:03;W
12;Warta Poznan;WAR;A;03:04;L
12;Slask Wroclaw;SLA;H;01:00;W
12;Rakow Czestochowa;RCZ;A;00:01;L
12;Legia Warszawa;LEG;H;02:00;W
12;Lechia Gdansk;LGD;A;00:02;L
12;Piast Gliwice;PIA;H;01:01;D
12;KGHM Zaglebie Lubin;ZAG;A;01:01;D
12;Lech Poznan;LPO;H;04:00;W
12;Podbeskidzie Bielsko-Biala;POD;A;00:04;L
12;Pogon Szczecin;POG;H;02:00;W
12;PGE FKS Stal Mielec;STM;A;00:02;L
12;Wisla Plock;WPL;H;00:01;L
12;Gornik Zabrze;GOR;A;01:00;W
13;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
13;Piast Gliwice;PIA;A;- : -;-
13;KGHM Zaglebie Lubin;ZAG;H;- : -;-
13;Slask Wroclaw;SLA;A;- : -;-
13;Warta Poznan;WAR;H;- : -;-
13;Pogon Szczecin;POG;A;- : -;-
13;Gornik Zabrze;GOR;H;- : -;-
13;Cracovia;CRA;A;- : -;-
13;Wisla Krakow;WIS;H;- : -;-
13;Legia Warszawa;LEG;A;- : -;-
13;PGE FKS Stal Mielec;STM;H;- : -;-
13;Lech Poznan;LPO;A;- : -;-
13;Rakow Czestochowa;RCZ;H;- : -;-
13;Jagiellonia Bialystok;JAG;A;- : -;-
13;Lechia Gdansk;LGD;H;- : -;-
13;Wisla Plock;WPL;A;- : -;-
14;Slask Wroclaw;SLA;H;- : -;-
14;Warta Poznan;WAR;A;- : -;-
14;Wisla Plock;WPL;H;- : -;-
14;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
14;Legia Warszawa;LEG;H;- : -;-
14;PGE FKS Stal Mielec;STM;A;- : -;-
14;Pogon Szczecin;POG;H;- : -;-
14;KGHM Zaglebie Lubin;ZAG;A;- : -;-
14;Cracovia;CRA;H;- : -;-
14;Lechia Gdansk;LGD;A;- : -;-
14;Lech Poznan;LPO;H;- : -;-
14;Wisla Krakow;WIS;A;- : -;-
14;Piast Gliwice;PIA;H;- : -;-
14;Rakow Czestochowa;RCZ;A;- : -;-
14;Jagiellonia Bialystok;JAG;H;- : -;-
14;Gornik Zabrze;GOR;A;- : -;-
15;KGHM Zaglebie Lubin;ZAG;H;- : -;-
15;Wisla Plock;WPL;A;- : -;-
15;Warta Poznan;WAR;H;- : -;-
15;Cracovia;CRA;A;- : -;-
15;Lechia Gdansk;LGD;H;- : -;-
15;Jagiellonia Bialystok;JAG;A;- : -;-
15;Gornik Zabrze;GOR;H;- : -;-
15;Lech Poznan;LPO;A;- : -;-
15;Rakow Czestochowa;RCZ;H;- : -;-
15;Pogon Szczecin;POG;A;- : -;-
15;Wisla Krakow;WIS;H;- : -;-
15;Piast Gliwice;PIA;A;- : -;-
15;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
15;Legia Warszawa;LEG;A;- : -;-
15;PGE FKS Stal Mielec;STM;H;- : -;-
15;Slask Wroclaw;SLA;A;- : -;-
16;Lech Poznan;LPO;H;- : -;-
16;KGHM Zaglebie Lubin;ZAG;A;- : -;-
16;Legia Warszawa;LEG;H;- : -;-
16;Rakow Czestochowa;RCZ;A;- : -;-
16;Piast Gliwice;PIA;H;- : -;-
16;Slask Wroclaw;SLA;A;- : -;-
16;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
16;Gornik Zabrze;GOR;A;- : -;-
16;Pogon Szczecin;POG;H;- : -;-
16;Cracovia;CRA;A;- : -;-
16;PGE FKS Stal Mielec;STM;H;- : -;-
16;Wisla Plock;WPL;A;- : -;-
16;Wisla Krakow;WIS;H;- : -;-
16;Jagiellonia Bialystok;JAG;A;- : -;-
16;Lechia Gdansk;LGD;H;- : -;-
16;Warta Poznan;WAR;A;- : -;-
17;Cracovia;CRA;H;- : -;-
17;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
17;Gornik Zabrze;GOR;H;- : -;-
17;PGE FKS Stal Mielec;STM;A;- : -;-
17;Jagiellonia Bialystok;JAG;H;- : -;-
17;Legia Warszawa;LEG;A;- : -;-
17;Pogon Szczecin;POG;H;- : -;-
17;Piast Gliwice;PIA;A;- : -;-
17;Rakow Czestochowa;RCZ;H;- : -;-
17;Lechia Gdansk;LGD;A;- : -;-
17;Wisla Plock;WPL;H;- : -;-
17;Lech Poznan;LPO;A;- : -;-
17;Slask Wroclaw;SLA;H;- : -;-
17;Wisla Krakow;WIS;A;- : -;-
17;Warta Poznan;WAR;H;- : -;-
17;KGHM Zaglebie Lubin;ZAG;A;- : -;-
18;KGHM Zaglebie Lubin;ZAG;H;- : -;-
18;Rakow Czestochowa;RCZ;A;- : -;-
18;Lech Poznan;LPO;H;- : -;-
18;Slask Wroclaw;SLA;A;- : -;-
18;Lechia Gdansk;LGD;H;- : -;-
18;Gornik Zabrze;GOR;A;- : -;-
18;Legia Warszawa;LEG;H;- : -;-
18;Wisla Plock;WPL;A;- : -;-
18;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
18;Jagiellonia Bialystok;JAG;A;- : -;-
18;PGE FKS Stal Mielec;STM;H;- : -;-
18;Cracovia;CRA;A;- : -;-
18;Wisla Krakow;WIS;H;- : -;-
18;Pogon Szczecin;POG;A;- : -;-
18;Piast Gliwice;PIA;H;- : -;-
18;Warta Poznan;WAR;A;- : -;-
19;Cracovia;CRA;H;- : -;-
19;KGHM Zaglebie Lubin;ZAG;A;- : -;-
19;Gornik Zabrze;GOR;H;- : -;-
19;Legia Warszawa;LEG;A;- : -;-
19;Jagiellonia Bialystok;JAG;H;- : -;-
19;Piast Gliwice;PIA;A;- : -;-
19;Rakow Czestochowa;RCZ;H;- : -;-
19;Podbeskidzie Bielsko-Biala;POD;A;- : -;-
19;PGE FKS Stal Mielec;STM;H;- : -;-
19;Lechia Gdansk;LGD;A;- : -;-
19;Wisla Plock;WPL;H;- : -;-
19;Wisla Krakow;WIS;A;- : -;-
19;Slask Wroclaw;SLA;H;- : -;-
19;Pogon Szczecin;POG;A;- : -;-
19;Warta Poznan;WAR;H;- : -;-
19;Lech Poznan;LPO;A;- : -;-
20;KGHM Zaglebie Lubin;ZAG;H;- : -;-
20;Jagiellonia Bialystok;JAG;A;- : -;-
20;Piast Gliwice;PIA;H;- : -;-
20;PGE FKS Stal Mielec;STM;A;- : -;-
20;Podbeskidzie Bielsko-Biala;POD;H;- : -;-
20;Lechia Gdansk;LGD;A;- : -;-
20;Pogon Szczecin;POG;H;- : -;-
20;Lech Poznan;LPO;A;- : -;-
20;Rakow Czestochowa;RCZ;H;- : -;-
20;Cracovia;CRA;A;- : -;-
