id,name,position,club,value,points,season
179,Michal Mak,3,14,1.7,10,2019/20 - wiosna
1055,Tomasz Makowski,3,5,1.8,29,2019/20 - wiosna
150,Maciej Makuszewski,3,3,1.7,42,2019/20 - wiosna
501,Piotr Malarczyk,2,7,1.2,0,2019/20 - wiosna
1015,Mariusz Malec,2,9,1.5,23,2019/20 - wiosna
1265,Piotr Malinowski,3,10,1.7,21,2019/20 - wiosna
167,Mario Maloca,2,5,1.9,29,2019/20 - wiosna
1253,Michalis Manias,4,9,1.6,14,2019/20 - wiosna
1300,Alasana Manneh,3,2,1.8,43,2019/20 - wiosna
1094,Filip Marchwinski,3,6,1.8,37,2019/20 - wiosna
1087,Andre Martins,3,4,2.0,30,2019/20 - wiosna
272,Mateusz Matras,3,12,1.5,7,2019/20 - wiosna
260,Hubert Matynia,2,9,1.8,26,2019/20 - wiosna
1372,Mateusz Mackowiak,2,11,1.0,0,2019/20 - wiosna
487,Giorgi Merebaszwili,3,15,2.0,46,2019/20 - wiosna
1280,Damian Michalski,2,15,1.5,26,2019/20 - wiosna
532,Jaroslav Mihalik,3,5,1.8,49,2019/20 - wiosna
1006,Daniel Mikolajewski,2,10,1.5,21,2019/20 - wiosna
1281,Titas Milasius,3,15,1.4,0,2019/20 - wiosna
964,Sebastian Milewski,3,7,1.9,56,2019/20 - wiosna
1217,Cezary Miszta,1,4,0.5,0,2019/20 - wiosna
786,Filip Mladenovic,2,4,2.5,25,2019/20 - wiosna
1206,Milosz Mleczko,1,6,1.0,1,2019/20 - wiosna
1211,Jakub Moder,3,6,2.6,70,2019/20 - wiosna
231,Tomasz Mokwa,2,7,1.5,0,2019/20 - wiosna
1278,Patryk Moskiewicz,3,14,0.5,0,2019/20 - wiosna
1386,Ariel Mosor,2,4,0.7,3,2019/20 - wiosna
1212,Karlo Muhar,3,6,1.8,24,2019/20 - wiosna
1269,Sebastian Musiolik,4,10,1.9,51,2019/20 - wiosna
1137,Lubambo Musonda,3,11,1.7,35,2019/20 - wiosna
1289,Wojciech Muzyk,1,4,1.0,1,2019/20 - wiosna
81,Przemyslaw Mystkowski,3,3,1.7,35,2019/20 - wiosna
1072,Ivan Marquez,2,1,1.7,13,2019/20 - wiosna
371,Krzysztof Maczynski,3,11,1.9,50,2019/20 - wiosna
681,Michal Nalepa,2,5,1.8,29,2019/20 - wiosna
996,Mikolaj Nawrocki,3,3,0.7,0,2019/20 - wiosna
991,Bartosz Neugebauer,1,2,0.5,0,2019/20 - wiosna
262,David Niepsuj,2,14,1.7,32,2019/20 - wiosna
1258,Andrzej Niewulis,2,10,1.6,0,2019/20 - wiosna
1404,Nikodem Niski,2,4,0.5,0,2019/20 - wiosna
528,Arvydas Novikovas,3,4,2.3,21,2019/20 - wiosna
829,Damian Oko,2,16,1.6,2,2019/20 - wiosna
63,Pawel Olszewski,2,3,0.7,1,2019/20 - wiosna
1387,Przemyslaw Oziebala,3,10,0.9,9,2019/20 - wiosna
172,Flavio Paixao,4,5,2.7,60,2019/20 - wiosna
