id,name,position,club,value,points,status
1452,Bartosz Kieliba,2,13,1.6,0,active
1453,Jakub Kielb,2,13,1.7,0,active
994,Lukas Klemenz,2,14,1.7,0,out of club
846,Tymoteusz Klups,4,6,1.5,0,active
1422,Gergo Kocsis,3,8,1.5,0,active
1345,Dawid Kocyla,4,15,1.6,0,active
285,Michal Koj,2,2,1.6,0,active
687,Aleksandyr Kolew,4,12,1.7,0,active
286,Martin Konczkowski,2,7,1.8,0,active
1580,Patryk Konik,2,4,0.5,0,active
640,Bartosz Kopacz,2,5,1.9,0,active
210,Michal Kopczynski,3,13,1.6,0,active
1218,Kacper Kostorz,3,4,1.5,0,active
1385,Grzegorz Kotowicz,3,11,0.5,0,active
580,Sebastian Kowalczyk,3,9,2.0,0,active
1439,Jan Kozlowski,2,12,1.2,0,active
277,Kacper Kozlowski,3,9,1.6,0,active
1321,Kamil Koscielny,2,12,1.7,0,injury
1445,Adam Kramarz,3,12,0.5,0,active
1193,Piotr Krawczyk,4,2,1.5,0,active
1547,Wasyl Krawec,2,6,2.0,0,active
1393,Kamil Kruk,2,16,0.5,0,active
1366,Egzon Kryeziu,3,5,1.5,0,active
1248,Dariusz Krzysztofek,1,9,0.7,0,active
1257,Oskar Krzyzak,2,10,0.5,0,active
1118,Patryk Krolczyk,1,7,0.8,0,active
988,Krzysztof Kubica,3,2,0.5,0,active
395,Jaroslaw Kubicki,3,5,1.8,0,active
211,Michal Kucharczyk,3,9,2.3,0,active
558,Dusan Kuciak,1,5,2.1,0,active
948,Dawid Kudla,1,2,1.4,0,active
701,Patryk Kun,3,10,2.0,0,active
340,Mateusz Kupczak,3,13,1.7,0,active
1342,Nikola Kuveljic,3,14,1.4,0,active
1462,Jakub Kuzdra,2,13,1.5,0,active
1520,Mateusz Kuzimski,4,13,2.0,0,active
115,Bartosz Kwiecien,2,3,1.8,0,active
1512,Dusan Lagator,3,15,1.7,0,active
1454,Adrian Laskowski,2,13,1.3,0,active
1423,Filip Laskowski,3,8,1.4,0,out of club
1373,Ben Lederman,3,10,1.0,0,active
1500,Filip Lesniak,3,15,1.7,0,active
1410,Arkadiusz Leszczynski,1,8,0.5,0,active
1411,Rafal Leszczynski,1,8,0.9,0,active
1501,Mateusz Lewandowski,4,15,1.4,0,active
200,Igor Lewczuk,2,4,2.4,0,active
1550,Szymon Lewkot,3,11,0.5,0,active
293,Patryk Lipski,3,7,1.7,0,active
1450,Adrian Lis,1,13,1.7,0,active
1026,Mateusz Lis,1,14,1.8,0,active
1440,Wojciech Lisowski,2,12,1.6,0,active
1189,Rafael Lopes,4,4,2.0,0,active
1330,Florian Loshaj,3,1,1.8,0,active
1471,Kamil Lukoszek,4,2,0.5,0,active
1285,Lucas Luquinhas,3,4,2.9,0,active
757,Sylwester Lusiusz,3,1,1.4,0,active
1539,Ivan Lopez,4,10,2.4,0,active
1582,Jehor Macenko,3,4,0.8,0,active
1564,Przemyslaw Maj,3,12,0.5,0,active
1571,Jan Majsterek,2,3,0.5,0,active
243,Mateusz Mak,3,12,1.8,0,active
179,Michal Mak,3,14,1.7,0,active
963,Rafal Makowski,3,11,1.6,0,active
1055,Tomasz Makowski,3,5,1.8,0,suspended
150,Maciej Makuszewski,3,3,1.8,0,active
501,Piotr Malarczyk,2,7,1.6,0,active
1015,Mariusz Malec,2,9,1.7,0,active
1265,Piotr Malinowski,3,10,1.5,0,active
167,Mario Maloca,2,5,1.7,0,active
1546,Petar Mamic,2,8,1.8,0,active
1300,Alasana Manneh,3,2,1.8,0,active
1094,Filip Marchwinski,3,6,1.8,0,active
1087,Andre Martins,3,4,2.1,0,active
1424,Mateusz Marzec,3,8,1.3,0,active
1534,Giannis Massouras,2,2,1.6,0,active
1483,Luis Mata,2,9,1.7,0,active
